"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.ProgramElementNumber.CodeBProgramElementList.record.partial.fields",
"24ab532995e36656c58d301b8048ace5","2015","2014-12-16T00:56:36+00:00","1418691396","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0401134F",
"f10fb9d61d172399ddf5e8677750df89","2015","2014-12-16T00:56:28+00:00","1418691388","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0401221F",
"59dcee88e42fc217ca5301b8676d1cf5","2015","2014-12-16T00:56:39+00:00","1418691399","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0401314F",
"5df9183eb9952ef267deef6cd626fb9d","2015","2014-12-16T00:56:49+00:00","1418691409","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0101213F",
"5df9183eb9952ef267deef6cd626fb9d","2015","2014-12-16T00:56:49+00:00","1418691409","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0604851F",
"5df9183eb9952ef267deef6cd626fb9d","2015","2014-12-16T00:56:49+00:00","1418691409","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0604933F",
"d11e97709fa63327715edba8cd10dff4","2015","2014-12-16T00:56:49+00:00","1418691409","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0604329F",
"de4f21b19b51109a6bdd529a139b4fb4","2015","2014-12-16T00:56:47+00:00","1418691407","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0207325F",
"b818524cb024d6200714487d36fdb944","2015","2014-12-16T00:56:44+00:00","1418691404","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0303601F",
"515b0ec1ebc9493e35e7e6fe0cec288e","2015","2014-12-16T00:56:41+00:00","1418691401","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0401314F",
