"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.ProgramElementNumber.CodeBProgramElementList.record.partial.fields",
"e8a6b629e4a400cdabb40040beece050","2015","2014-12-15T20:56:06+00:00","1418676966","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PBAmended_2015.xml","procurement-amended","2015","1160405BB",
"7b9e6f49a43c0f4c10fc27ac8743339c","2015","2014-12-15T20:56:11+00:00","1418676971","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","0205219F",
"d16432f644f25be6c212f0ef547f9ecd","2015","2014-12-15T20:56:04+00:00","1418676964","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2015.xml","procurement-amended","2015","1160405BB",
"7e40e5a4cd1f6085f973787c5891b8d0","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","0401132F",
"2f9ecbca2781fdf6ed57f7a476638102","2015","2014-12-15T20:56:11+00:00","1418676971","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","0401115F",
"438e57ea8d241e227ecb716a0dc4a19e","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","0207701F",
"438e57ea8d241e227ecb716a0dc4a19e","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","0303601F",
"438e57ea8d241e227ecb716a0dc4a19e","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","0401897F",
"12ef10c703bcbd1548f14a85a6f732ed","2015","2014-12-15T20:56:11+00:00","1418676971","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","0101126F",
"552823145d076c34797d241d31e111b0","2015","2014-12-15T20:56:04+00:00","1418676964","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2015.xml","procurement-amended","2015","0303610K",
"ac3f30c29985abe78ff355af4b98c22c","2015","2014-12-15T20:56:05+00:00","1418676965","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.xml","procurement-amended","2015","0303610K",
"7b577c6bac38202fc1003fa78225629a","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","0207224F",
