"id","catalog.meta","resource.meta","type.meta","data_type.meta","timestamp.meta","timestamp_iso8601.meta","source.meta","source_filename.meta","fiscal_year.meta","classification.meta","@monetaryUnit.record","value.ProgramElementNumber.record","value.ProgramElementTitle.record","value.R1LineItemNumber.record","value.BudgetYear.record","value.BudgetCycle.record","value.SubmissionDate.record","value.ServiceAgencyName.record","value.AppropriationCode.record","value.AppropriationName.record","value.BudgetActivityNumber.record","value.BudgetActivityTitle.record","value.PriorYear.ProgramElementFunding.record","value.CurrentYear.ProgramElementFunding.record","value.BudgetYearOne.ProgramElementFunding.record","value.BudgetYearOneBase.ProgramElementFunding.record","value.BudgetYearTwo.ProgramElementFunding.record","value.BudgetYearThree.ProgramElementFunding.record","value.BudgetYearFour.ProgramElementFunding.record","value.BudgetYearFive.ProgramElementFunding.record","value.ProgramElementNote.record","value.ProgramElementMissionDescription.record","value.AllPriorYears.ProgramElementFunding.record","value.CostToComplete.ProgramElementFunding.record","value.TotalCost.ProgramElementFunding.record","value.MdapCodes.record","@format.record",
"7c897eea909e02a21e71ccaf4ecebecf","dodbudget","rdte-base","2014","record","1418721795","2014-12-16T09:23:15+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2014.xml","2014","public","Millions","0602716E","ELECTRONICS TECHNOLOGY","24","2014","PB","2013-04","Defense Advanced Research Projects Agency","0400","Research Development Test & Evaluation Defense-Wide","2","Applied Research","216.102","222.416","243.469","243.469","254.104","253.843","245.305","244.425","","This program element is budgeted in the Applied Research budget activity because its objective is to develop electronics that make a wide range of military applications possible.Advances in microelectronic device technologies including digital analog photonic and MicroElectroMechanical Systems (MEMS) devices continue to have significant impact in support of defense technologies for improved weapons effectiveness improved intelligence capabilities and enhanced information superiority.  The Electronics Technology program element supports the continued advancement of these technologies through the development of performance driven advanced capabilities exceeding that available through commercial sources in electronic optoelectronic and MEMS devices semiconductor device design and fabrication techniques and new materials and material structures for device applications.  A particular focus for this work is the exploitation of chip-scale heterogeneous integration technologies that permit the optimization of device and integrated module performance.The phenomenal progress in current electronics and computer chips will face the fundamental limits of silicon technology in the early 21st century a barrier that must be overcome in order for progress to continue.  Another thrust of the program element will explore alternatives to silicon-based electronics in the areas of new electronic devices new architectures to use them new software to program the systems and new methods to fabricate the chips.  Approaches include nanotechnology nanoelectronics molecular electronics spin-based electronics quantum-computing new circuit architectures optimizing these new devices and new computer and electronic systems architectures.  Projects will investigate the feasibility design and development of powerful information technology devices and systems using approaches for electronic device designs that extend beyond traditional Complementary Metal Oxide Semiconductor (CMOS) scaling including non silicon-based materials technologies to achieve low cost reliable fast and secure computing communication and storage systems.  This investigation is aimed at developing new capabilities from promising directions in the design of information processing components using both inorganic and organic substrates designs of components and systems leveraging quantum effects and chaos and innovative approaches to computing designs incorporating these components for such applications as low cost seamless pervasive computing ultra-fast computing and sensing and actuation devices.  This project has five major thrusts: Electronics Photonics MicroElectroMechanical Systems Architectures Algorithms and other Electronic Technology research.","","","","","R2Long",
"038a882f2613db5aa1db5d98b161233e","dodbudget","rdte-base","2014","record","1418721795","2014-12-16T09:23:15+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2014.xml","2014","public","Millions","0602702E","TACTICAL TECHNOLOGY","22","2014","PB","2013-04","Defense Advanced Research Projects Agency","0400","Research Development Test & Evaluation Defense-Wide","2","Applied Research","202.735","233.209","225.977","225.977","236.874","265.869","298.653","305.243","","This program element is budgeted in the Applied Research Budget Activity because it supports the advancement of concepts and technologies to enhance the next generation of tactical systems.  The Tactical Technology program element funds a number of projects in the areas of Naval Warfare Advanced Land Systems Advanced Tactical Technology Aeronautics Technology and Network Centric Enabling technologies.The Naval Warfare Technology project develops advanced enabling technologies for a broad range of naval requirements.  Technologies under development will increase survivability and operational effectiveness of small and medium surface vessels in rough seas.  New areas to be investigated include ship self defense techniques novel underwater propulsion modalities vessels for estuary and riverine operations and unmanned sea vehicles for anti-submarine warfare.The Advanced Land Systems project is developing technologies for enhancing U.S. military effectiveness and survivability in operations ranging from traditional threats to military operations against irregular forces that can employ disruptive or catastrophic capabilities or disrupt stabilization operations.  The emphasis is on developing affordable technologies that will enhance the military's effectiveness while decreasing the exposure of U.S. or allied forces to enemy fire.  Advanced manufacturing demonstration activities are also funded.The Advanced Tactical Technology project is exploring the application of compact and solid state lasers; high performance computational algorithms to enhance signal processing target recognition and tracking electromagnetic propagation and processing of advanced materials and microelectronics; precision optics components for critical DoD applications; aerospace electronic warfare systems; new tactical systems for enhanced air vehicle survivability advanced airbreathing weapons and enabling technologies for advanced space systems; and Training Superiority programs that will create revolutionary new training techniques.The Aeronautics Technology project explores technologies to reduce costs associated with advanced aeronautical systems and provide revolutionary new capabilities for current and projected military mission requirements. This project funds development of a hybrid ground/air vehicle an advanced helicopter rotor capable of being optimized for each mission and robust study efforts.The Network Centric Enabling Technology project funds sensor signal processing detection tracking and target identification technology development required for true network-centric tactical operations.  Technologies developed in this project will enable localized distributed and cross-platform collaborative processing so that networks of sensors can rapidly adapt to changing force mixes predictive modeling tools to evaluate failing nation states and identify potential hot spots and social networking approaches to identify and track potential terrorist cells.","","","","","",
"a890b45fec844c599f16488fc59fb153","dodbudget","rdte-base","2014","record","1418721795","2014-12-16T09:23:15+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2014.xml","2014","public","Millions","0602715E","MATERIALS AND BIOLOGICAL TECHNOLOGY","23","2014","PB","2013-04","Defense Advanced Research Projects Agency","0400","Research Development Test & Evaluation Defense-Wide","2","Applied Research","203.826","166.067","166.654","166.654","179.383","193.695","194.814","199.412","","This program element is budgeted in the Applied Research Budget Activity because its objective is to develop material biological and energy technologies that make possible a wide range of new military capabilities.The major goal of the Materials Processing Technology project is to develop novel materials materials processing and manufacturing techniques mathematical models and fabrication strategies for advanced structural and functional materials and components that will lower the cost increase the performance and/or enable new missions for military platforms and systems.  Included in this project are efforts across a wide range of materials including: structural materials and devices functional materials and devices and materials that enable new propulsion concepts for land sea and space vehicles and low distortion optical lenses.The Biologically Based Materials and Devices project acknowledges the growing and pervasive influence of the biological sciences on the development of new materials devices and processes as well as the commensurate influence of materials physics and chemistry on new approaches to biology and biochemistry.  Contained in this project are thrusts in the application of biomimetic materials and devices for Defense the development of biochemical materials to maintain performance the use of biology's unique fabrication capabilities to produce structures that cannot be made any other way and the development of manufacturing tools that use biological components and processes for material synthesis.  It also supports a major thrust that will revolutionize the development of prosthetics for the wounded soldier.The Tactical and Strategic Energy Technology project focused on the unique challenges facing the DoD in developing and demonstrating advanced power generation and energy storage technologies.  It addressed critical military needs for improved energy efficiency and availability to support a range of military missions that include individual warfighter and small unit operations.","","","","","",
"9844eeacb1f340150ef7202c09af5b4b","dodbudget","rdte-base","2014","record","1418721802","2014-12-16T09:23:22+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2014.xml","2014","public","Millions","0603898C","Ballistic Missile Defense Joint Warfighter Support","92","2014","PB","2013-04","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","4","Advanced Component Development & Prototypes (ACD&P)","36.684","55.550","47.419","47.419","47.793","53.182","54.037","54.608","FY 2014 decrease reflects the transfer of funds for the Joint Ballistic Missile Defense Education and Training Activities from the Ballistic Missile Defense Joint Warfighter Program Element 0603898C to support the functional transfer as codified through a signed memorandum of agreement to the United States Strategic Command (USSTRATCOM).Funding in the All Prior Years column represents a summary of Prior Years Total Costs for active contracts Military Interdepartmental Purchase Requests and civilian salaries on the R-3.","The Joint Warfighter Support Program (JWSP) is MDA`s primary means for providing direct technical support to Combatant Commanders the Military Services and the Joint Staff on Ballistic Missile Defense System (BMDS) developments. It enables delivery of BMDS capabilities to Warfighters and ensures their participation in the identification and development of new BMD capabilities via the Warfighter Involvement Process. The JWSP Program allows the Warfighter and Material Developer to work together to identify gaps seams and needs in war fighting capability and develop enhancements to BMD System attributes through submission of Modification and Fielding Requests. The JWSP also provides for continuous `round the clock` BMD system-related support to Warfighters deployed across the globe on a 24/7/365 basis. The program enables rapid delivery of responses to Warfighter Requests for Information and Requests for Analyses which is especially critical to mission success in protecting US forces and other defended assets during ``Real World`` threat events. The program supports delivery of product improvements to Warfighters through technical reviews allows employment of technical analyses to support development of shot doctrine and enables the inclusion of both Combatant Commander (COCOM) and Material Developer BMD-related objectives in COCOM/Joint Staff sponsored wargames and exercises which are used to sharpen and enhance joint BMD warfighting skills. MD40 Program-Wide Support (PWS) consists of essential non-headquarters management costs in support of the MDA functions and activities across the entire Ballistic Missile Defense System (BMDS).","118.546","Continuing","Continuing","","",
"182ae4c4f3b3025f4f22e930b75de302","dodbudget","rdte-base","2014","record","1418721804","2014-12-16T09:23:24+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2014.xml","2014","public","Millions","0604880C","Land Based SM-3 (LBSM3)","111","2014","PB","2013-04","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","4","Advanced Component Development & Prototypes (ACD&P)","299.012","276.338","129.374","129.374","124.547","51.927","55.808","32.938","Funding in the All Prior Years column represents a summary of Prior Years Total Costs for active contracts Military Interdepartmental Purchase Requests and civilian salaries on the R-3.","This program supports the development of a land based Standard Missile-3 (SM-3) capability hereafter referred to as Aegis Ashore. On 17 September 2009 the President announced an overarching plan to provide regional missile defense to U.S. deployed forces allies and partners in Europe called the European Phased Adaptive Approach (EPAA). The United States will also pursue phased adaptive approaches in the Asia Pacific and the Middle East by building on current efforts. The PAA envisions tailoring U.S. Ballistic Missile Defense (BMD) capabilities to specific theater needs to enhance integrated regional missile defenses to protect defended assets against medium intermediate and ultimately intercontinental range ballistic missiles. Within this policy a European PAA specifically addresses a timeline to deploy a mix of afloat and land-based BMD capabilities. Aegis Ashore represents one of these land-based capabilities. Phase I of EPAA (completed December 2011): Focuses on the protection against short and medium-range ballistic missiles. As part of phase I which is already underway the United States has deployed multi-mission Aegis ships with BMD capability and the SM-3 Block IA missile. Phase I also included establishing separate forward-based AN/TPY-2 radar in Turkey to provide a cue to multi-mission Aegis ships with BMD capability and to future Aegis Ashore sites for launch on remote engagements. Phase II of EPAA (2015): Deploys the first land-based BMD configuration (Aegis Ashore) in Romania and deploys the SM-3 Block IB on land at the Aegis Ashore site and at sea on multi-mission Aegis ships with BMD capability. Phase III of EPAA (2018): Deploys a second land based Aegis Ashore in Poland and introduces an upgraded Standard Missile the SM-3 Block IIA. This missile brings improved coverage against medium and intermediate range ballistic threats and extends coverage to the bulk of the European continent. Aegis Ashore is a key component of Phases II and III in the European PAA and will provide Aegis Missile Defense capability against short and medium range ballistic missiles in an ashore configuration. It will be similar to the Aegis At-Sea BMD capability inherent in the DDG-113 series of the Arleigh Burke Class Destroyers to facilitate training and logistical support by the lead service Navy. Aegis Ashore essentially re-hosts the required BMD components of a Navy Destroyer in an ashore configuration to include SPY RADAR Vertical Launch System computing infrastructure Command Control Communications Computers and Intelligence (C4I) systems and operator consoles. It will provide sophisticated engagement strategies. Aegis Ashore can adapt to the threat and can be deployed/redeployed worldwide to areas needed to provide persistent coverage for the Geographic Combatant Commanders. The initial Aegis Ashore Missile Defense System (AAMDS) will be deployed to Romania in FY 2015. A second AAMDS will be deployed to Poland in FY 2018 as part of the European Phased Adaptive Approach.Missile Defense Agency (MDA) approved the acquisition strategy in FY 2010. MD40 Program-Wide Support (PWS) consists of essential non-headquarters management costs in support of the MDA functions and activities across the entire Ballistic Missile Defense System (BMDS).","528.223","Continuing","Continuing","","",
"3d8d4a2a22717b6c2db0a2a8273a9eda","dodbudget","rdte-base","2014","record","1418721804","2014-12-16T09:23:24+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2014.xml","2014","public","Millions","0604881C","AEGIS SM-3 Block IIA Co-Development","112","2014","PB","2013-04","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","4","Advanced Component Development & Prototypes (ACD&P)","457.529","420.630","308.522","308.522","230.466","128.743","41.014","0.000","Funding in the All Prior Years column represents a summary of Prior Years Total Costs for active contracts Military Interdepartmental Purchase Requests and civilian salaries on the R-3.","The Aegis Ballistic Missile Defense (Aegis BMD) mission is to deliver an enduring operationally effective and supportable Ballistic Missile Defense capability to defend the nation deployed forces friends and allies and to increase this capability by delivering evolutionary improvements as part of Ballistic Missile Defense System (BMDS) upgrades. Aegis BMD provides a forward-deployable mobile capability to detect and track Ballistic Missiles of all ranges and the ability to destroy Short-Range Ballistic Missiles (SRBM) Medium-Range Ballistic Missiles (MRBM) and Intermediate-Range Ballistic Missiles (IRBM) in the midcourse phase of flight and Intercontinental Ballistic Missiles (ICBMs) in early phases of flight. Upgrades to both the Aegis BMD Weapon System and the STANDARD MISSILE-3 (SM-3) configurations evolve Aegis BMD to provide effective supportable defensive capability against more difficult threats. Beginning in 2006 Aegis BMD and the Japanese Ministry of Defense (JMOD) have undertaken an SM-3 Cooperative Development (SCD) program. The objective of the SCD project is the development and initial at-sea flight test of the SM-3 Blk IIA missile and preparation for subsequent production decisions. Key technology improvements planned for the SM-3 Block IIA missile include an increase in velocity and an increase in range provided by a 21-inch diameter rocket motor propulsion stack more than doubled seeker sensitivity and more than three times divert capability incorporated in an advanced kinetic warhead. Key component technologies to be developed include but are not limited to: lightweight nosecone advanced kinetic warhead 21-inch second stage rocket motor and 21-inch third stage rocket motor. Technology risk reduction will be conducted to reduce key component development risk. The U.S. and Japan will bear equitable burden to conduct the Project. The assignment of work documented in the U.S./Japan Memorandum of Understanding (MOU) SCD Annex represents an equitable sharing of work. The U.S. and Japan will fund the full extent of their participation in the Project. No funds will be transferred between the U.S. and Japan under the MOU. Proving Missile Defense: Working with the Services` Operational Test Agencies (OTA) with the support of the Director of Operational Test and Evaluation (DOT&E) Missile Defense Agency (MDA) has developed a test program to improve confidence in missile defense capabilities under development and ensure the capabilities transferred to the war fighter are operationally effective suitable and survivable. The Integrated Master Test Plan (IMTP) is event-oriented and extends until the collection of all identified data is completed to ensure adequate test investments. MD40 Program-Wide Support (PWS) consists of essential non-headquarters management costs in support of the MDA functions and activities across the entire Ballistic Missile Defense System (BMDS).","737.968","0","2324.8720","","",
"4d649c9e10a6e27c82d04b9d3412b49d","dodbudget","rdte-base","2014","record","1418721796","2014-12-16T09:23:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2014.xml","2014","public","Millions","0603287E","SPACE PROGRAMS AND TECHNOLOGY","38","2014","PB","2013-04","Defense Advanced Research Projects Agency","0400","Research Development Test & Evaluation Defense-Wide","3","Advanced Technology Development (ATD)","99.138","159.704","172.546","172.546","169.757","169.796","169.186","170.186","","The Space Programs and Technology program element is budgeted in the Advanced Technology Development budget activity because it addresses high payoff opportunities to dramatically reduce costs associated with advanced space systems and provides revolutionary new system capabilities for satisfying current and projected military missions.A space force structure that is robust against attack represents a stabilizing deterrent against adversary attacks on space assets.  The keys to a secure space environment are situational awareness to detect and characterize potential threats a proliferation of assets to provide robustness against attack ready access to space and a flexible infrastructure for maintaining the capabilities of on-orbit assets.  Ready access to space requires the delivery of defensive systems replenishment supplies to orbit and rapid manufacturing of affordable space capabilities.  An infrastructure to service the mission spacecraft allows defensive actions to be taken without limiting mission lifetime.  In addition developing space access and spacecraft servicing technologies will lead to reduced ownership costs of space systems and new opportunities for introducing technologies for the exploitation of space.Systems development is also required to increase the interactivity of space systems space-derived information and services with terrestrial users.  Studies under this project include technologies and systems that will enable satellites and microsatellites to operate more effectively by increasing maneuverability survivability and situational awareness; enabling concepts include novel propulsion/propellants unique manufacturing processes; precision control of multi-payload systems and payload isolation and pointing systems.","","","","","R2Long",
"02025431c93e7f9a93e0333fc47fa52d","dodbudget","rdte-base","2014","record","1418721794","2014-12-16T09:23:14+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2014.xml","2014","public","Millions","0601117E","BASIC OPERATIONAL MEDICAL SCIENCE","4","2014","PB","2013-04","Defense Advanced Research Projects Agency","0400","Research Development Test & Evaluation Defense-Wide","1","Basic Research","44.445","39.676","49.500","49.500","51.500","53.500","53.500","53.500","","The Basic Operational Medical Science Program Element is budgeted in the Basic Research Activity because it will explore and develop basic research in medical-related information and technology leading to fundamental discoveries tools and applications critical to solving DoD challenges.  Programs in this project address the Department's identified medical gaps in taking care of the warfighter such as blast-induced traumatic brain injury.  Efforts will draw upon the information computational modeling and physical sciences to discover properties of biological systems that cross multiple scales of biological architecture and function from the molecular and genetic level through cellular tissue organ and whole organism levels.  This project will establish a fundamental understanding of brain function short-term memory and the mechanism(s) of injury induced by exposure to blast.  Basic research that aims at new methods and medical devices includes the ability to perform in-theater continuous analysis of a warfighter's health as a preventative measure to mitigate widespread disease and development of biomaterials that allow long-term interfaces with neural tissue electronics that provide sound attenuation and processes to remove harmful bacteria and their toxins in blood to prevent sepsis.","","","","","R2Long",
"99ddfadab253c04e09bcef69d333d201","dodbudget","rdte-base","2014","record","1418721805","2014-12-16T09:23:25+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2014.xml","2014","public","Millions","0605502C","Small Business Innovative Research - MDA","154","2014","PB","2013-04","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","6","RDT&E Management Support","89.963","0.000","0.000","0.000","0.000","0.000","0.000","0.000","N/A","This project explores innovative concepts pursuant to Public Law 106-554 (Small Business Reauthorization Act of 2000) and Public Law 107-50 (Small Business Technology Transfer Program Reauthorization Act of 2001) which mandates a two-phase competition for small businesses with innovative technologies that can also be commercialized. The Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) programs will develop new dual-use technologies for possible future Missile Defense Agency (MDA) Ballistic Missile Defense Systems (BMDS) needs. Dual-use means that the technologies will also be judged on their potential for future private sector investment both as a vehicle for reducing development time and cost unit costs of new MDA BMDS technologies and as a route to national economic growth through new commercial products. MDA will conduct the competition and will award and manage the contracts. The Missile Defense Agency`s SBIR/STTR investments are divided into 14 Research Areas from 5 MDA Elements:-Aegis Ballistic Missile Defense (BMD): A hybrid program office (MDA/Navy) that builds BMD Capability for use in multi-mission ships and in Aegis Ashore.-Command Control Communication Computer Intelligence Surveillance and Reconnaissance (C4ISR): Defines develops and deploys an integrated Sensor and Command and Control (C2) capability for Missile Defense-Program and Integration: Supervises the Acquisition Category ID ACAT 1D Ballistic Missile Defense System Program portfolio including element design development system integration and test.-Test: Characterizes ballistic missile defense capabilities and supports fielding of an integrated and effective capability to the Warfighter.-Advanced Technology: Develops cost and operationally effective capabilities; explores and develops technology to counter future threats. Small Business Innovation Research topic areas for FY 2012 included: -Combined Radio Frequency/Infrared Data Correlation -Radio Frequency/Infrared Data Fusion-Innovative Technologies for High Performance Infrared Detectors-Novel Planning Algorithms for Hybrid Land and Sea Platform Sensor Coordination-Radar Waveforms to Discern Remote Object Attributes-3G and 4G Communication System Interference Remediation Techniques-Asset Pairing for Battle Management-Radio Frequency/Infrared Data Fusion for Track and Data Correlation-Anti-Tamper Technology for Missile Defense-Techniques for Performing Warhead Characterization-Fast-Running Physics-Based Models for Intercept Debris Aero-heating and Aero-thermal Demise-Modeling High Explosive Detonation Response and Resulting Debris/Shrapnel Generation from Submunitions Warheads-Antenna design in the Plasma Environment-Radio Frequency Material Property Characterization-Advanced Techniques for Lossless Compression of Target Vehicle Telemetry-Modular Hypergolic Leak Detector-Acquisition Tracking and Pointing Technologies for High Energy Laser Applications-Development of Line-narrowed Diode Pump Sources for Diode Pumped Alkali Laser systems-Optics and Coatings for High Energy Laser Applications-Atmospheric Characterization for Directed Energy Applications-Light weight Rubidium-Metal Vapor Circulating System-Solid State High Energy Laser Batteries and Power Sources-Methodologies for Realtime Correction of Water Vapor Effects on an Infrared Scene-Lightweight Communication Equipment for Interceptor Communications-Miniature Extendable Nozzles or Actuating Nozzles for Improved Specific Impulse of Divert and Attitude Control System\Thrusters-Powdered Propellant Rocket Motor-Waste Heat Recovery of Rocket Motors for Reduction of Battery Weight-Affordable Reinforced Polymer Composite Structures with Embedded Electrical Interfaces-Marking of Components for Avoidance of Counterfeit Parts-Thermal Isolation of Nozzle Exit Cone Insulators-Electro-Optic Infrared Debris Management during ascent phase for Command Control Battle Management and Communications-Post Intercept Debris Predictions for Electro-Optic Infrared Scene Modeling-Human-in-Control Modeling-Modeling & Simulation Uncertainty Quantification-High energy laser analysis tool with experimental verification of Diode Pumped Alkali Laser rate constants-Improved Target Discrimination of Multiple Targets Using Bulk Filtering for Debris-Anchoring Post-Intercept Debris Prediction Tools-Detailed Lethality Assessments for Flight Test Events-Innovative designs for reliable Electro-Explosive Ordnance Devices -Long-Term Missile Aging Assessment & Reliability Predictions for Polymer Materials and Electronic Parts-Cost Effective Reliable Service Life Extension Testing of Ordnance Devices-Correlation identification and evaluation of new technologies or methodologies to accurately measure inertial movement in a stressing flight environment-Materials and Life Cycle Sustainability","","0","89.9630","","",
"2b7dc50634f0f56c367608e1ca318631","dodbudget","rdte-base","2014","record","1418721798","2014-12-16T09:23:18+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2014.xml","2014","public","Millions","0603274C","Special Program - MDA Technology","36","2014","PB","2013-04","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","3","Advanced Technology Development (ATD)","61.371","36.685","40.426","40.426","42.208","45.676","46.465","47.074","N/A","This program is reported in accordance with Title 10 United States Code Section 119(a)(1) in the Special Access Program Annual Report to Congress.","","Continuing","Continuing","","",
