"FiscalYear_val","FiscalYear_@footnote","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","ContractMethod_val","ContractType_val","OCO_val","FundingVehicle_val","RFPIssueDate_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2015","","AMCOM EC, Huntsville, AL","2015-06","2015-07","1","1050.000","true","C","FP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-df297ddde1abbdface8168d70209f224a4dbdda5","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-517285b129b20bf55421d554817efa3b843628ec"
"2016","","AMCOM EC, Huntsville, AL","2016-04","2016-06","1","728.000","false","C","FP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-e79a57251f645a4545e9cfe79fd2ff4902f982ea","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-a8b3f9709e2fe5b1e40b769f1985b112a40d82dd"
"2017","","AMCOM EC, Huntsville, AL","2017-04","2017-06","1","842.000","false","C","FP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-8fd0ccd997ddaa91c0ec651cf1e5cc803d2c28bd","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-a8b3f9709e2fe5b1e40b769f1985b112a40d82dd"
"2015","","ACC-RI, Rock Island, IL","2015-06","2015-08","1","700.000","true","C","FFP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-58b904cf61865501808d26603dc24507d0e1f971","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-b52ad5b52aee21f5c015432d40de4fe77c14f88c"
"2015","","TBS","2016-04","2016-07","0","1000.000","true","C","FFP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-4c9dadf464acd2c28ccbd17126fb9f9f88354292","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-bff21e3edf2af4392d9279ae2242c95e0c5d8c4b"
"2016","","TBS","2016-04","2016-07","1","660.000","false","C","FFP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-faa3029a3a36153205e13a0df7b2b113c2c7ba6b","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-bff21e3edf2af4392d9279ae2242c95e0c5d8c4b"
"2017","","TBS","2017-04","2017-07","1","479.000","false","C","FFP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-2-246794b3ad7e7808a6f237c4452e8502ee91a425","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-bff21e3edf2af4392d9279ae2242c95e0c5d8c4b"
"2015","","ACC-RI, Rock Island, IL","2015-04","2015-07","1","2893.000","true","C","FFP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-a6fd00b8a94a3490f1cca12bc71de53e2ca6ee6b","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-6b572af7ccb9b269cd43457ae6ae1af4d126a868"
"2015","","ACC-RI, Rock Island, IL","2016-02","2016-05","0","2147.000","false","C","FFP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-3c70406e17bd87d4140d8ebf0a4bdd51efb0e4e5","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-b59a8e16f32bf560a4108c9acef5b7d1a7fccb74"
"2017","","TBS","2017-04","2017-07","1","6605.000","false","C","FP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-d0b8e959df39618d0a3f3fe567644775c6d4c2f9","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-91863079421fc8f13ad89fd29d67500f59d68151"
