"@projectCategoryName","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Number_val","Title_val","CostElementList_Construction_PriorYear_TotalCost_val","CostElementList_Construction_CurrentYear_TotalCost_val","CostElementList_Construction_BudgetYearOneBase_TotalCost_val","CostElementList_Construction_BudgetYearOne_TotalCost_val","CostElementList_Construction_BudgetYearOneOCO_TotalCost_val","CostElementList_Equipment_PriorYear_TotalCost_val","CostElementList_Equipment_CurrentYear_TotalCost_val","CostElementList_Equipment_BudgetYearOneBase_TotalCost_val","CostElementList_Equipment_BudgetYearOne_TotalCost_val","CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val","CostElementList_EquipmentInstallation_PriorYear_TotalCost_val","CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val","CostElementList_ContractorSupport_PriorYear_TotalCost_val","CostElementList_ContractorSupport_CurrentYear_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val","CostElementList_Other_BudgetYearOneBase_TotalCost_val","CostElementList_Other_BudgetYearOne_TotalCost_val","CostElementList_Other_CurrentYear_TotalCost_val","CostElementList_Other_PriorYear_TotalCost_val","CostElementList_Other_BudgetYearOneOCO_TotalCost_val","CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val","CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val","CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val","CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val","EndItemSupportedModel_val","MilestoneList_InitialProjectAward_val","MilestoneList_FinalProjectAward_val","MilestoneList_ConstructionComplete_val","MilestoneList_EquipmentInstallationComplete_val","MilestoneList_ProveOutBegins_val","MilestoneList_ProveOutComplete_val","MilestoneList_FinalDesignComplete_val","MilestoneList_ConceptDesignComplete_val","NarrativeExplanation_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Production Support","0.284","0.334","0.567","0.567","U6037","Production Base Support - Lima","0.284","0.334","0.567","0.567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-0-4353b97771ddd1e7db4085eb98f7eec5144f1586","b5a0b4ceefb60c6af7d7f6edbacb12844e177450","root.record.FacilityList.ProductionSupportFacility","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-0-a0e5830fd21333261d3bb7aa3a4f7ffcfaaf0e6d"
"Production Support","0.189","0.222","0.377","0.377","U6040","Production Base Support - Scranton","0.189","0.222","0.377","0.377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-0-ce0943ab19d704d8e98bc24978479048d210be91","b5a0b4ceefb60c6af7d7f6edbacb12844e177450","root.record.FacilityList.ProductionSupportFacility","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-1-880ec414032e8f8a8f0bd885a68096786e54fd8d"
"Production Support","0.6","0.589","0.6","0.6","U4282","TACOM LCMC Production Base Spt Program","0.6","0.589","0.6","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-0-0d93d88186f61b0584a1999553d881829ad8f612","b5a0b4ceefb60c6af7d7f6edbacb12844e177450","root.record.FacilityList.ProductionSupportFacility","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-2-ec2ff24338d030f4a8d880ba49cf253d8dd38499"
"Production Support","2.796","2.879","2.973","2.973","6XX5333","PIF for Other (RN08 - Production Base)","0.949","","0.914","0.914","","1.365","2.117","0.625","0.625","","0.414","0.728","0.928","0.928","","0.068","0.034","0.083","0.083","","0.423","0.423","","","","","","","","","","","Missile Warheads","2014-03","2014-03","2015-09","2015-09","2015-09","2015-09","","","FY 14 Base procurement dollars in the amount of $2.973 million supports numerous efforts at Iowa Ammunition Plant.  The project supports replacement of control systems for Line 4B warhead presses that have reached the end of their economic life. This effort will also renovate Building 1-12 to include roof and siding and will repair water and electrical utilities to include the heating, ventilation, and air conditioning (HVAC) systems.  It will procure and install a 100-ton, double acting, hydraulic billet press in building 1-19-5 (development). This press will replace a well-worn 300-ton press built in 1951, and will be used primarily for development type work in the pressing of specific warhead billets. Finally, this effort will decontaminate and dispose of excess production equipment/facilities no longer required for missile production.  This equipment is explosively contaminated and must be decontaminated before disposal.","c1222536309a6566516c4d9d2d4d17d6163e1554-0-f8fcf2013a36f295aea829bccb1e0dbfeace573b","c1222536309a6566516c4d9d2d4d17d6163e1554","root.record.FacilityList.ProductionSupportFacility","c1222536309a6566516c4d9d2d4d17d6163e1554-0-a5dad11dae3ddc3fe159a7bcf0b63148b700ae13"
"Production Support","2.247","2.321","2.312","2.312","6XXXXXX","PIF FOR OTHER (RL07 - Test & Evaluation)","","","","","","2.247","2.321","2.312","2.312","","","","","","","","","","","","","","","","","","","","","","","","Testing of Missile Systems","2013-12","2014-03","","2014-12","","","","","FY 14 Base procurement dollars in the amount of $2.312 million support the following:  Procures a Non-Track Digital Instrumentation System (NTDIS), which is a mobile video broadcast van with equipment capable of near real time viewing, recording, processing, and remote network control of high-speed video data collected at missile launch sites (Non-Track refers to video collected from cameras fixed on tripods not optical tracking instruments, NTDIS does not track missiles).","c1222536309a6566516c4d9d2d4d17d6163e1554-0-b0cffcd8186c6fbc4df66b3743d61aa1c82ffe27","c1222536309a6566516c4d9d2d4d17d6163e1554","root.record.FacilityList.ProductionSupportFacility","c1222536309a6566516c4d9d2d4d17d6163e1554-1-466ed99ee37e75c50fc6ba65d3f358d2e631a205"
"Production Support","","","5.891","5.891","5143629","Modernize Employee Change House Facilities","","","2.04","2.04","","","","2.493","2.493","","","","","","","","","0.417","0.417","","0.941","0.941","","","","","","","","","","","Research & Development Explosives (RDX), High Melt Explosives (HMX)","2014-03","2014-03","2015-11","2016-01","2016-02","2016-03","2014-11","","FY 2014 Base procurement dollars in the amount of $5.891 million support effort to improve change house facilities, restrooms, showers, and lockers.  It will also provide ventilation and air conditioning for change house facilities.  This effort will improve the quality of work environment at Holston Army Ammunition Plant.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-72940ccf25cc7bbe838651e2027d52f9d0cb0ca4","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
"Production Support","","5.396","","","5XX3298","Vacuum Drying Capability, Premix/Plastic Bonded Explosive (PBX)","","0.651","","","","","1.652","","","","","2.151","","","","","0.471","","","","","","0.374","","","0.097","","","","","","","Research & Development Explosives (RDX)/High Melt Explosives (HMX)","2013-04","2013-04","","2014-07","2014-07","2014-10","2012-05","","FY 2013 Base procurement dollars in the amount of $5.396 million support the purchase and installation of modern technology and auxiliary equipment for the vacuum drying facility at Holston Army Ammunition Plant (AAP).  All coated explosive products manufactured at Holston AAP require a drying step prior to packaging in order to meet product moisture specifications.  The existing drying process is inefficient, obsolete and failing.  The modernized process will improve energy efficiencies, reduce operation costs and improve product quality.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-47a6c46376ef2edc7b45d22424650538281ee8e3","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
"Production Support","","24.281","","","5XX3528","Insensitive Munitions Explosive (IMX) Ingredients Manufacturing","","9.499","","","","","9.307","","","","","3.305","","","","","1.728","","","","","","","","","0.442","","","","","","","IMX-101, IMX-104","2013-08","2013-08","2014-03","2014-12","2015-01","2015-08","2013-04","","FY 2013 Base procurement dollars in the amount of $24.281 million support the procurement and installation of an Insensitive Munitions Explosive (IMX) Ingredients manufacturing facility at Holston Army Ammunition Plant (AAP).  This facility will provide sufficient production capacity to meet future requirements of IMX-101 and IMX-104.  Holston AAP currently does not have the capability to meet the new IM production requirements.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-2-be01e71d55e32e7ccfe8bcad0cf91cefbbc13b35","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
"Production Support","","","9.79","9.79","5143676","Building G-4, Nitroguanidine (NQ) Recrystallization","","","4.847","4.847","","","","2.342","2.342","","","","1.686","1.686","","","","0.915","0.915","","","","","","","","","","","","","","Dinitroanisole (DNAN), Nitrotriazalone (NTO)","2014-05","2014-05","2016-05","2016-05","2016-06","2016-09","2015-05","","FY 2014 Base procurement dollars in the amount of $9.790 million support modernization of Nitroguanidine (NQ) Recrystallization process in building G-4 at Holston Army Ammunition Plant.  Antiquated processing equipment, obsolete instrumentation controls, and out-dated processing methods are incapable of satisfying future production requirements.  This project modernizes the NQ production area.  NQ is a critical ingredient in the production of insensitive munitions explosives.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-3-38cf14c4a0581a7c3a17fe04ed8dd17d35c53855","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
"Production Support","5.905","","","","5123163","Fire Alarm System & Deluge System Upgrades","2.76","","","","","2.134","","","","","0.205","","","","","0.38","","","","","","","","0.426","","","","","","","","","Research & Development Explosives (RDX)/High Melt Explosives","2012-09","2012-09","2013-12","2013-12","2014-01","2014-02","2013-02","","Procurement dollars in the amount of $5.905 million support the design and installation of new alarm and deluge systems in production and service support buildings at Holston Army Ammunition Plant.  The existing alarm systems do not comply with safety standards, operate with obsolete equipment and lack automated notification.  The current fire alarm system poses a safety risk to personnel and loss of government property.  This project will provide timely notification of fire emergencies in the operating and production support buildings, improve personnel safety and reduce the risk of property damage.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-4-1114806f3b8671d9cf120a677f8dcfc4c15a8062","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
