"Title_val","PriorYear_Funding_val","PriorYear_Text_val","CurrentYear_Funding_val","CurrentYear_Text_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"CANES (Cong)","12.000","Completed development of statutory and regulatory acquisition documentation in support of CANES Milestone C (MS C). Revised Cost Analysis Requirements Description (CARD) and Life Cycle Cost Estimate (LCCE) in support of Navy's Service Cost Position (SCP) for MS C. Conducted Developmental Test (DT) and Operational Assessment (OA) in support of MS C. Continued hosted system integration testing and Application Integration (AI) as they migrate to CANES baseline. Prepared Enterprise Engineering and Certification (E2C) lab for testing on Platform Sets 1 & 2 baselines and purchased necessary lab assets and test articles in support of testing events. Continued baseline development on Platform Sets 1 & 2 and began baseline development on Platform Sets 3 & 4. Completed down-selection process from two competing developers to one. Performed systems engineering efforts to complete functional baselines and updates to technical data packages.","","","06ba5118c3dd6c9e866d5ea0428491b998d6ddaa-0-a435014ce2681a88534fabd4715a207057519dfb","06ba5118c3dd6c9e866d5ea0428491b998d6ddaa","root.record.ProjectList.Project","06ba5118c3dd6c9e866d5ea0428491b998d6ddaa-1-b23bf85ef6a07d2341c5367272c8c77611f3fafc"
"Combat Dragon II Demonstration (Cong)","20.000","N/A","","","0bca57e61e895518804e6149970ab93b5b6a7525-0-cd37c40a38754bb8e1e60cccb9de7c90d1a44d78","0bca57e61e895518804e6149970ab93b5b6a7525","root.record.ProjectList.Project","0bca57e61e895518804e6149970ab93b5b6a7525-0-21a27844d41a7339feccd22e2c3b1dcb72c02e43"
"Responsive Launch Capability","25.000","Continued the ORS-3 Enabler Mission and selected launch vehicle improvements leading to a launch in 4QFY13.  Continued developing the ORS-4 Super Strypi ultra-low cost, rail launched new small launch capability.  Continued development and qualification testing of autonomous flight safety assemblies, on-board metric tracking, and space based range.","","","0d7cb35836deae98cc7387e6eba89cac414bf9df-0-61ac7cf48e085743692775463fb7ea06f607396b","0d7cb35836deae98cc7387e6eba89cac414bf9df","root.record.ProjectList.Project","0d7cb35836deae98cc7387e6eba89cac414bf9df-1-788819180061080b6383c3ffb1f1c852d782326e"
"Nanotechnology Research","8.000","Conducted Congressionally-directed effort.","","","0da4d53af72ad2541ee897d4af69285967d46bea-0-021feb6df0835301747eed3ac9865bc0e56b260a","0da4d53af72ad2541ee897d4af69285967d46bea","root.record.ProjectList.Project","0da4d53af72ad2541ee897d4af69285967d46bea-0-723c6d0f8d5f81583c2d785f5b88f07fb4357a80"
"Classified Add (Cong)","100.000","Congressional add.","","","12f4cedc60d57081759fde063ef13345e9e744ed-0-2bf0af1f8df000c450ef5944f1e00010b1f7ad7a","12f4cedc60d57081759fde063ef13345e9e744ed","root.record.ProjectList.Project","12f4cedc60d57081759fde063ef13345e9e744ed-1-7dd3c906aa321f37ce149cc7d3aa9c46bd67bfe5"
"Military Dental Research","5.100","All Navy Military Dental Research projects are underway. FY12 research efforts include a number of continuation projects from FY11.  These efforts include the following accomplishments:  Evaluation of Incidence and Treatment of Dental Emergencies in Deployed  Personnel; Third Molar Related Dental Emergency and Extractions in Deployed Personnel; Design /Fabrication of Rapid Prototype Titanium Implement for Head /Neck Reconstruction.","","","168d206459625b80c981d5847927155308348e1f-0-c234727e9c5c4ba821cecd64443a02bdc2582ab4","168d206459625b80c981d5847927155308348e1f","root.record.ProjectList.Project","168d206459625b80c981d5847927155308348e1f-1-602118df92e86b534f2942b14c0f5e3d5e0bddb5"
"Wound Care Research (transferred from Defense Health Program)","13.000","The Wound Care Research Program is a comprehensive effort which continues to develop novel diagnostics and treatments to enhance the care of the wounded warfighter.  The program utilizes cutting edge molecular assays and advanced computational biology to develop a device to predict the outcome of wounds.  The development of novel treatments for wounds is based on the use of cells and factors to improve wound healing.","","","168d206459625b80c981d5847927155308348e1f-1-1b8a32bb2b6fc3e4644c0a42f5f47416720453ea","168d206459625b80c981d5847927155308348e1f","root.record.ProjectList.Project","168d206459625b80c981d5847927155308348e1f-1-602118df92e86b534f2942b14c0f5e3d5e0bddb5"
"Southeast Asia Center","11.150","Initiated a remote sensing and data fusion effort to address maritime domain awareness in western Pacific region.  Addressed cooperative maritime security issues important to US and partners in the region.","","","2171644786f7cdfba41369d8cae1a90d845f13b9-0-7248a3fd0bced6bf2226bd0cb0f0e70e6649d1b4","2171644786f7cdfba41369d8cae1a90d845f13b9","root.record.ProjectList.Project","2171644786f7cdfba41369d8cae1a90d845f13b9-1-fd1d4cb60acd02cbd39f19358bea158ee9964d96"
"Adv Sub Sys Dev (Cong)","5.380","Developed a modified MFX alloy SVRLA prototype battery (redevelopment from previous design) and test at a government owned land based test facility. Continue the on-going Root Cause Analysis (RCA) efforts to identify and correct cause for capacity decline.","","","2dda4a47ba8473318bddc67844caf74fad151bcf-0-472ef30060c0d20ee19811199af0cbe176ec5b3a","2dda4a47ba8473318bddc67844caf74fad151bcf","root.record.ProjectList.Project","2dda4a47ba8473318bddc67844caf74fad151bcf-3-bc34e5efb985d52f589f2f2bdd8a28bc4f8c3f20"
"Cyber Security Research","12.000","Conducted Congressionally directed cyber security research program.","","","2eaa55161f3facdb10caf899989ea364ac69449e-0-3801492f1a64711ce877e8b4f8ca4293552d97e8","2eaa55161f3facdb10caf899989ea364ac69449e","root.record.ProjectList.Project","2eaa55161f3facdb10caf899989ea364ac69449e-0-1b5f144e6d310e06461bb9a54d6efa53dcd67431"
